file,experiment,cell,label,engine,n,ef,concurrency,selectivity,trial,p50_ms,p95_ms,p99_ms,qps,recall_at_10,error_rate,n_measured,invalid,index_build_s,time_to_searchable_s,rss_mb
mongo-250k.jsonl,E1,e1_iso_recall_sweep,e1_iso_recall_sweep,mongo,250000,128.0,1.0,100,1.0,13.901899990742095,17.5027950113872,30.74955499731004,68.99175504355098,0.9925999999999998,0.0,500.0,False,,,2295.1
mongo-250k.jsonl,E1,e1_iso_recall_sweep,e1_iso_recall_sweep,mongo,250000,256.0,1.0,100,1.0,15.594150012475438,19.614485003694423,30.757152994337943,62.20871391805749,0.9977999999999999,0.0,500.0,False,,,2295.1
mongo-250k.jsonl,E2,e2_concurrency,e2_concurrency,mongo,250000,64.0,1.0,100,1.0,12.847999998484738,16.54932001547422,22.67669499968176,73.84075152036539,0.9895999999999997,0.0,500.0,False,,,2295.8
mongo-250k.jsonl,E2,e2_concurrency,e2_concurrency,mongo,250000,64.0,4.0,100,1.0,16.651500001898967,22.519850012031384,32.21065398538483,231.21258980502492,0.9889999999999997,0.0,500.0,False,,,2299.5
mongo-250k.jsonl,E2,e2_concurrency,e2_concurrency,mongo,250000,64.0,8.0,100,1.0,23.468100000172853,35.92009998683352,193.40037700574604,285.5614206059265,0.9885999999999996,0.0,500.0,False,,,2156.0
mongo-250k.jsonl,E3,e3_filter,e3_filter,mongo,250000,64.0,1.0,100,1.0,14.42194999253843,23.38168999413027,39.93100601393961,63.68168206856829,0.9903999999999996,0.0,500.0,False,,,2176.0
mongo-250k.jsonl,E3,e3_filter,e3_filter,mongo,250000,64.0,4.0,100,1.0,15.39380001486279,19.92928499385016,26.18873500614426,250.7468494931925,0.9897999999999996,0.0,500.0,False,,,2176.7
mongo-250k.jsonl,E3,e3_filter,e3_filter,mongo,250000,64.0,1.0,50,1.0,17.76429999154061,27.513444999931377,36.2406040058704,53.218838182956155,0.49460000000000015,0.0,500.0,False,,,2196.9
mongo-250k.jsonl,E3,e3_filter,e3_filter,mongo,250000,64.0,4.0,50,1.0,25.287199998274446,38.23160501633537,51.90232797671338,148.34052493160445,0.49400000000000005,0.0,500.0,False,,,2215.3
mongo-250k.jsonl,E3,e3_filter,e3_filter,mongo,250000,64.0,1.0,10,1.0,31.378800005768426,46.06509999866827,58.09579298947937,30.729318207015865,0.10440000000000042,0.0,500.0,False,,,2197.3
mongo-250k.jsonl,E3,e3_filter,e3_filter,mongo,250000,64.0,4.0,10,1.0,32.37124999577645,43.18362000194611,50.09041800745763,119.76163506435859,0.10440000000000042,0.0,500.0,False,,,2201.1
mongo-250k.jsonl,E3,e3_filter,e3_filter,mongo,250000,64.0,1.0,1,1.0,20.463749999180436,31.30374000029405,57.51082599774235,45.07760488326167,0.012599999999999991,0.0,500.0,False,,,2202.6
mongo-250k.jsonl,E3,e3_filter,e3_filter,mongo,250000,64.0,4.0,1,1.0,22.06415000546258,36.28845498751616,48.153107987018274,161.54776718588008,0.012599999999999991,0.0,500.0,False,,,2211.6
mongo-250k.jsonl,E5,e5_cold,cold_no_warmup,mongo,250000,64.0,,,,18.322849995456636,25.938839999434997,32.29566300549776,52.31025084201344,,0.0,50.0,,,,
qdrant-100k-vol.jsonl,E4,ingest,ingest_bulk,qdrant,10000,,,,,,,,,,,,,6.644669700006489,6.644592199998442,266.9
qdrant-100k-vol.jsonl,E0,e0_high_ef,e0_high_ef,qdrant,10000,256.0,1.0,100,1.0,8.56430000567343,32.32705498085124,33.955820986011524,64.41063604590369,0.9997999999999999,0.0,500.0,False,,,87.8
qdrant-100k-vol.jsonl,E4,ingest,ingest_bulk,qdrant,50000,,,,,,,,,,,,,39.55877810000675,39.55839520000154,236.7
qdrant-100k-vol.jsonl,E1,e1_iso_config,e1_iso_config,qdrant,50000,64.0,1.0,100,1.0,21.60980000917334,32.58976499928394,34.841251980978996,52.61086355834666,0.9975999999999997,0.0,500.0,False,,,220.3
qdrant-100k-vol.jsonl,E1,e1_iso_config,e1_iso_config,qdrant,50000,64.0,1.0,100,2.0,9.01049999811221,31.884745000570547,33.78217899269657,61.48991213095152,0.9975999999999997,0.0,500.0,False,,,207.9
